Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,AutoSize,,,
Balsa Machining,CR34-F,.420x.376x.05thk fiber,in.,0.376,0.42,0.05,Fiber,0,g,0,0
Balsa Machining,CR35-F,.516x.376x.05thk fiber,in.,0.376,0.516,0.05,Fiber,0,g,0,0
Balsa Machining,CR35-P,.516x.376x.25thk paper (mini eng thrust ring),in.,0.376,0.516,0.25,Paper,0,g,0,0
Balsa Machining,CR420-F,.708x.450x.05thk fiber,in.,0.45,0.708,0.05,Fiber,0,g,0,0
Balsa Machining,CR45-F,.516x.450x.05thk fiber,in.,0.45,0.516,0.05,Fiber,0,g,0,0
Balsa Machining,CR450-F,.95x.450x.05thk fiber,in.,0.45,0.95,0.05,Fiber,0,g,0,0
Balsa Machining,CR50101-F,3.896x.978x.05thk fiber,in.,0.978,3.896,0.05,Fiber,0,g,0,0
Balsa Machining,CR5052H-F,1.14x.980x.05thk fiber,in.,0.98,1.14,0.05,Fiber,0,g,0,0
Balsa Machining,CR5052H-P,1.137x.977x.25thk paper,in.,0.977,1.137,0.25,Paper,0,g,0,0
Balsa Machining,CR5052H-P1,1.137x.977x.50thk paper,in.,0.977,1.137,0.5,Paper,0,g,0,0
Balsa Machining,CR5055-F,1.283x.978x.05thk fiber,in.,0.978,1.283,0.05,Fiber,0,g,0,0
Balsa Machining,CR5055-W,1.283x.978x.125thk lite-ply,in.,0.978,1.283,0.125,lite ply,0,g,0,0
Balsa Machining,CR5060-F,1.593x.978x.05thk fiber,in.,0.978,1.593,0.05,Fiber,0,g,0,0
Balsa Machining,CR5060-W,1.593x.978x.125thk lite-ply,in.,0.978,1.593,0.05,lite ply,0,g,0,0
Balsa Machining,CR5070-F,2.178x.978x.05thk fiber,in.,0.978,2.178,0.05,Fiber,0,g,0,0
Balsa Machining,CR5070-W,2.178x.978x.125thk lite-ply,in.,0.978,2.178,0.125,lite ply,0,g,0,0
Balsa Machining,CR5080-F,2.556x.978x.05thk fiber,in.,0.978,2.556,0.05,Fiber,0,g,0,0
Balsa Machining,CR5080-W,2.556x.978x.125thk lite-ply,in.,0.978,2.556,0.125,lite ply,0,g,0,0
Balsa Machining,CR50H55-W,1.283x.990x.125thk lite-ply,in.,0.99,1.283,0.125,lite ply,0,g,0,0
Balsa Machining,CR50H60-F,1.593x.990x.05thk fiber,in.,0.99,1.593,0.05,Fiber,0,g,0,0
Balsa Machining,CR50H70-W,2.178x.990x.125thk lite-ply,in.,0.99,2.178,0.125,lite ply,0,g,0,0
Balsa Machining,CR520-F,.703x.546x.05thk fiber,in.,0.546,0.703,0.05,Fiber,0,g,0,0
Balsa Machining,CR520-P,.708x.542x.25thk paper,in.,0.546,0.708,0.25,Paper,0,g,0,0
Balsa Machining,CR520-W,.703x.546x.125thk lite-ply,in.,0.546,0.703,0.125,lite ply,0,g,0,0
Balsa Machining,CR52H55-F,1.283x1.215x.05thk fiber,in.,1.215,1.283,0.05,Fiber,0,g,0,0
Balsa Machining,CR52H60-F,1.592x1.215x.05thk fiber,in.,1.215,1.592,0.05,Fiber,0,g,0,0
Balsa Machining,CR52H80-W,2.558x1.215x.125thk lite-ply,in.,1.215,2.558,0.125,lite ply,0,g,0,0
Balsa Machining,CR55101-F,3.896x1.283x.05thk fiber,in.,1.283,3.896,0.05,Fiber,0,g,0,0
Balsa Machining,CR5560-F,1.592x1.283x.05thk fiber,in.,1.283,1.592,0.05,Fiber,0,g,0,0
Balsa Machining,CR5570-F,2.217x1.283x.05thk fiber,in.,1.283,2.217,0.05,Fiber,0,g,0,0
Balsa Machining,CR5570-W,2.178x1.325x.125thk lite-ply,in.,1.325,2.178,0.125,lite ply,0,g,0,0
Balsa Machining,CR5580-F,2.558x1.283x.05thk fiber,in.,1.283,2.558,0.05,Fiber,0,g,0,0
Balsa Machining,CR60101-F,3.896x1.595x.05thk fiber,in.,1.595,3.896,0.05,Fiber,0,g,0,0
Balsa Machining,CR6070-F,2.217x1.595x.05thk fiber,in.,1.595,2.217,0.05,Fiber,0,g,0,0
Balsa Machining,CR6070-W,2.175x1.637x.125thk lite-ply,in.,1.635,2.178,0.125,lite ply,0,g,0,0
Balsa Machining,CR6080-F,2.558x1.595x.05thk fiber,in.,1.595,2.558,0.05,Fiber,0,g,0,0
Estes,30125,CR-20-55,1,18.7,32.1,1.17,Paper,0,0,0,0
Estes,30162-2,Eng. block BT-20,1,16.5,18,5,Paper,0,0,0,0
Estes,Eng. Hook Sleeve,BT-20 Sleeve,1,18.7,18.9,8,Paper,0,0,0,0
