Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len
Madcow Rocketry,,"2.6"" Fiberglass 5:1 Ogive Nose Cone",0,17.5,2.68,0,3.75,2.58,0,1,1,Fiberglass,0,2,135.5,0
Madcow Rocketry,,"5.5"" Fiberglass 5:1 Conical Nose Cone",0,30,5.5,0,5.75,5.28,0,0,1,Fiberglass,0,2,494.3,0
Public Missiles,FNC-11.41,Fiberglass nose cone,0,42,11.7,4.2,6,11.6,0.125,1,1,Fiberglass,24,0,80,0
Public Missiles,FNC-11.4HRPN,Fiberglass nose cone,0,23,11.7,0,6,11.4,0.088,0,1,Fiberglass,21,0,81,0
Public Missiles,FNC-6.00,Fiberglass nose cone,0,24,6.1,4.2,5.5,5.97,0.125,1,1,Fiberglass,14.5,0,28,0
Public Missiles,FNC-7.51,Fiberglass nose cone,0,29,7.7,4.2,6,7.58,0.125,1,1,Fiberglass,18,0,44,0
Public Missiles,IC-2.1-1.1,Intellicone,0,9.5,2.3,4.2,3,2.17,0.125,1,1,Polystyrene PS,0,0,4.7,0
Public Missiles,IC-2.6-1.5,Intellicone,0,11.2,2.7,4.2,2,2.58,0.125,1,1,Polystyrene PS,0,0,7.2,0
Public Missiles,IC-3.0-2.1,Intellicone,0,13.2,3.1,4.2,2.5,2.98,0.125,1,1,Polystyrene PS,0,0,8.7,0
Public Missiles,IC-3.9-2.1,Intellicone,0,16.8,4,4.2,3,3.88,0.125,1,1,Polystyrene PS,0,0,14.4,0
Public Missiles,PNC-2.15,Plastic nose cone,0,9.5,2.3,4.2,1.75,2.17,0.125,1,1,Polystyrene PS,7.5,0,3.5,0
Public Missiles,PNC-2.56,Plastic nose cone,0,11.2,2.7,4.2,2,2.58,0.125,1,1,Polystyrene PS,9,0,5.4,0
Public Missiles,PNC-3.00,Plastic nose cone,0,13.2,3.1,4.2,2.5,2.98,0.125,1,1,Polystyrene PS,9,0,5.6,0
Public Missiles,PNC-3.90,Plastic nose cone,0,16.8,4,4.2,3,3.88,0.125,1,1,Polystyrene PS,9,0,10,0
Public Missiles,UNC-1.145,Urethane nose cone,0,6,1.27,4.7,1.5,1.15,0,0,0,Urethane,6.5,0,2,0
Public Missiles,UNC-1.525,Urethane nose cone,0,8,1.6,5,1.5,1.48,0,0,0,Urethane,6.5,0,4,0
Public Missiles,UNC-OG-1.5,Stratus nose cone,0,4.38,1.65,0,0.875,1.5,0,1,0,Urethane,0,0,0,0
Quest,Quest,PNC25,0,3.15,0.984,0,0.5,0.859,0.125,2,1,Polystyrene PS,1.82,0,0.25,0
Quest,Quest,PNC35,0,4.12,1.38,0,0.75,1.25,0.125,2,1,Polystyrene PS,2.44,0,0.36,0
Quest,Quest,PNC15,0,1,0.59,0,0.25,0.465,0.125,1,1,Polystyrene PS,0.625,0,0.08,0
Quest,Quest,PNC35N,0,8.31,1.38,0,0.75,1.25,0.125,0,1,Polystyrene PS,4.53,0,0.47,0
Quest,Quest,PNC20,0,2.53,0.787,0,0.5,0.662,0.125,1,1,Polystyrene PS,1.51,0,0.1,0
Retro Rocket Works,Retro Rockets 19568,2.75 Maple/Cherry,0,7.5,2.75,0,1.06,2.25,0,1,0,Maple (Hard),5.5,2,255,0
Balsa Machining,20140,PNC-3.00,mm,279.4,76.2,0,76.2,74.422,1.4427,ogive,hollow,Polystyrene PS,0,g,0,0
Madcow Rocketry,20147,"PNC-4.00"" (98mm) x 9.5",0,9.5,4,0,3,3.858,0,2,1,Polypropylene,0,2,183.5,0
Madcow Rocketry,20148,"PNC-4.00"" (98mm) x 9.5",0,16.5,4,0,3.25,3.858,0,2,1,Polypropylene,0,2,298.1,0
Madcow Rocketry,20510,"2.6"" Fiberglass 3:1 Ogive Nose Cone",0,8.13,2.68,,2.5,2.58,0,1,1,Fiberglass,0,2,76.9,0
Madcow Rocketry,20511,"2.6"" Fiberglass 5:1 Ogive Nose Cone",0,17.5,2.68,0,3.75,2.58,0,1,1,Fiberglass,0,2,135.5,0
Madcow Rocketry,20541,"5.5"" Fiberglass 5:1 Conical Nose Cone",0,30,5.5,0,5.75,5.28,0,0,1,Fiberglass,0,2,494.3,0
