Mfg.,Part no,Desc,Units,Name,Type,Length,Material,Mass units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24059,98mm AeroPack Retainer,mm,98mm AeroPack Retainer - Flanged,general,,Aluminum,g,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,25005,98mm Min Diameter Motor Retainer,mm,98mm Min Diameter Motor Retainer,general,,Aluminum,g,295.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24900,38 & 54mm Min. Dia. Retainer Ext. 1.8-2.2",mm,38 & 54mm Min. Dia. Retainer Ext. 1.8-2.2",general,,Aluminum,g,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24901,38 & 54mm Min. Dia. Retainer Ext. 2.2-3.0,mm,38 & 54mm Min. Dia. Retainer Ext. 2.2-3.0,general,,Aluminum,g,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24902,38 & 54mm Min. Dia. Retainer Ext. 3.0-4.5,mm,38 & 54mm Min. Dia. Retainer Ext. 3.0-4.5,general,,Aluminum,g,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24903,38 & 54mm Min. Dia. Retainer Ext. 4.5-6.6",mm,38 & 54mm Min. Dia. Retainer Ext. 4.5-6.6",general,,Aluminum,g,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24905,38 & 54mm Min. Dia. Retainer Ext. 4.2-6.0",mm,38 & 54mm Min. Dia. Retainer Ext. 4.2-6.0",general,,Aluminum,g,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24906,75 & 98mm Min. Dia. Retainer Ext. 4.2-6.0",mm,75 & 98mm Min. Dia. Retainer Ext. 4.2-6.0",general,,Aluminum,g,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24907,75 & 98mm Min. Dia. Retainer Ext. 4.2-6.0",mm,75 & 98mm Min. Dia. Retainer Ext. 4.2-6.0",general,,Aluminum,g,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocketarium,24056,18mm Engine Retainer,mm,18mm Rocketarium Retainer,general,,Aluminum,g,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
