Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,,
Madcow Rocketry,10632,"33mm x 48"" Fiberglass Tube",0,1.29,1.34,48,Fiberglass,,2,160.1
ProLine Composites,10603,"54mm x 48"" Fiberglass Tube",0,2.14,2.31,48,Fiberglass,,2,670.4
ProLine Composites,10607,"4"" x 48"" Fiberglass Tube",0,3.89,4.08,48,Fiberglass,,2,1345.3
ProLine Composites,10612,"5.5"" x 48"" Fiberglass Tube",0,5.38,5.56,48,Fiberglass,,2,2134
ProLine Composites,10613,"6 x 48"""" Fiberglass Tube""",0,6.01,6.19,48,Fiberglass,,2,2766
ProLine Composites,10616,"7.5"" x 48"" Fiberglass Tube",0,7.5,7.74,48,Fiberglass,,2,3834
ProLine Composites,10617,"8"" x 48"" Fiberglass Tube",0,7.81,8,48,Fiberglass,,2,4122
Quest,8062,T3524,0,1.34,1.38,24,Paper,,2,0
Quest,8066,T3024,0,1.14,1.18,24,Paper,,2,0
Quest,8070,T2524,0,0.94,0.98,24,Paper,,2,0
Quest,8074,T2024,0,0.75,0.79,24,Paper,,2,0
Quest,8078,T1524,0,0.55,0.59,24,Paper,,2,0
Semroc,LT-085160,Large Body Tube,0,0.87,0.95,16,Spiral/Glassine,,0,?
Semroc,LT-085220,Large Body Tube,0,0.87,0.95,22,Spiral/Glassine,,0,?
Semroc,LT-085300,Large Body Tube,0,0.87,0.95,30,Spiral/Glassine,,0,?
Semroc,LT-08580,Large Body Tube,0,0.87,0.95,8,Spiral/Glassine,,0,?
Semroc,LT-115160,Large Body Tube,0,0.87,0.95,16,Spiral/Glassine,,0,?
Semroc,LT-115220,Large Body Tube,0,1.14,1.22,22,Spiral/Glassine,,0,?
Semroc,LT-115300,Large Body Tube,0,1.14,1.22,30,Spiral/Glassine,,0,?
Semroc,LT-11555,Large Body Tube,0,1.14,1.22,5.5,Spiral/Glassine,,0,?
Semroc,LT-11560,Large Body Tube,0,1.14,1.22,6,Spiral/Glassine,,0,?
Semroc,LT-11580,Large Body Tube,0,1.14,1.22,8,Spiral/Glassine,,0,?
Semroc,LT-125220,Large Body Tube,0,1.25,1.34,22,Spiral/Glassine,,0,?
Semroc,LT-125300,Large Body Tube,0,1.25,1.34,30,Spiral/Glassine,,0,?
Semroc,LT-12580,Large Body Tube,0,1.25,1.34,8,Spiral/Glassine,,0,?
Semroc,LT-150220,Large Body Tube,0,1.5,1.59,22,Spiral/Glassine,,0,?
Semroc,LT-150227,Large Body Tube,0,1.5,1.59,22.7,Spiral/Glassine,,0,?
Semroc,LT-150300,Large Body Tube,0,1.5,1.59,30,Spiral/Glassine,,0,?
Semroc,LT-15057,Large Body Tube,0,1.5,1.59,5.7,Spiral/Glassine,,0,?
Semroc,LT-15080,Large Body Tube,0,1.5,1.59,8,Spiral/Glassine,,0,?
Semroc,LT-175165,Large Body Tube,0,1.75,1.84,16.5,Spiral/Glassine,,0,?
Semroc,LT-175220,Large Body Tube,0,1.75,1.84,22,Spiral/Glassine,,0,?
Semroc,LT-175300,Large Body Tube,0,1.75,1.84,30,Spiral/Glassine,,0,?
Semroc,LT-17560,Large Body Tube,0,1.75,1.84,6,Spiral/Glassine,,0,?
Semroc,LT-17580,Large Body Tube,0,1.75,1.84,8,Spiral/Glassine,,0,?
Semroc,LT-225140,Large Body Tube,0,2.25,2.34,14,Spiral/Glassine,,0,?
Semroc,LT-225220,Large Body Tube,0,2.25,2.34,22,Spiral/Glassine,,0,?
Semroc,LT-225300,Large Body Tube,0,2.25,2.34,30,Spiral/Glassine,,0,?
Semroc,LT-22580,Large Body Tube,0,2.25,2.34,8,Spiral/Glassine,,0,?
Semroc,LT-275220,Large Body Tube,0,2.75,2.84,22,Spiral/Glassine,,0,?
Semroc,LT-275300,Large Body Tube,0,2.75,2.84,30,Spiral/Glassine,,0,?
Semroc,LT-27580,Large Body Tube,0,2.75,2.84,8,Spiral/Glassine,,0,?
Semroc,ST-10100,Body Tube,0,1,1.04,10,Spiral/Glassine,,0,?
Semroc,ST-10105,Body Tube,0,1,1.04,10.5,Spiral/Glassine,,0,?
Semroc,ST-10120,Body Tube,0,1,1.04,12,Spiral/Glassine,,0,?
Semroc,ST-10180,Body Tube,0,1,1.04,18,Spiral/Glassine,,0,?
Semroc,ST-1030,Body Tube,0,1,1.04,3,Spiral/Glassine,,0,?
Semroc,ST-1050,Body Tube,0,1,1.04,5,Spiral/Glassine,,0,?
Semroc,ST-1060,Body Tube,0,1,1.04,6,Spiral/Glassine,,0,?
Semroc,ST-1080,Body Tube,0,1,1.04,8,Spiral/Glassine,,0,?
Semroc,ST-1095,Body Tube,0,1,1.04,9.5,Spiral/Glassine,,0,?
Semroc,ST-13135,Body Tube,0,1.3,1.34,13.5,Spiral/Glassine,,0,?
Semroc,ST-13180,Body Tube,0,1.3,1.34,18,Spiral/Glassine,,0,?
Semroc,ST-1330,Body Tube,0,1.3,1.34,3,Spiral/Glassine,,0,?
Semroc,ST-1380,Body Tube,0,1.3,1.34,8,Spiral/Glassine,,0,?
Semroc,ST-16120,Body Tube,0,1.6,1.64,12,Spiral/Glassine,,0,?
Semroc,ST-16180,Body Tube,0,1.6,1.64,18,Spiral/Glassine,,0,?
Semroc,ST-1630,Body Tube,0,1.6,1.64,3,Spiral/Glassine,,0,?
Semroc,ST-1650,Body Tube,0,1.6,1.64,5,Spiral/Glassine,,0,?
Semroc,ST-1660,Body Tube,0,1.6,1.64,6,Spiral/Glassine,,0,?
Semroc,ST-1690,Body Tube,0,1.6,1.64,9,Spiral/Glassine,,0,?
Semroc,ST-20120,Body Tube,0,2,2.04,12,Spiral/Glassine,,0,?
Semroc,ST-20180,Body Tube,0,2,2.04,18,Spiral/Glassine,,0,?
Semroc,ST-2060,Body Tube,0,2,2.04,6,Spiral/Glassine,,0,?
Semroc,ST-3630,Body Tube,0,3.6,3.69,3,Spiral/Glassine,,0,?
